iter	Passed	Remaining
198	6255	25178
199	6281	25125
200	6307	25073
201	6334	25025
202	6368	25001
203	6398	24967
204	6431	24941
205	6464	24916
206	6495	24884
207	6535	24886
208	6571	24871
209	6602	24837
210	6639	24829
211	6668	24786
212	6700	24758
213	6729	24717
214	6763	24694
215	6794	24660
216	6826	24630
217	6853	24586
218	6883	24546
219	6910	24501
220	6936	24451
221	6965	24409
222	6993	24367
223	7029	24353
224	7060	24318
225	7090	24284
226	7118	24241
227	7155	24227
228	7181	24179
229	7211	24142
230	7238	24098
231	7264	24049
232	7295	24015
233	7335	24011
234	7372	23999
235	7408	23984
236	7440	23953
237	7470	23917
238	7500	23881
239	7532	23853
240	7564	23823
241	7597	23796
242	7631	23773
243	7664	23748
244	7696	23719
245	7731	23696
246	7761	23663
247	7801	23654
248	7841	23651
249	7876	23629
250	7916	23622
251	7953	23606
252	7991	23596
253	8044	23626
254	8081	23611
255	8119	23597
256	8152	23570
257	8186	23543
258	8218	23514
259	8251	23483
260	8281	23449
261	8313	23416
262	8344	23383
263	8378	23359
264	8410	23327
265	8440	23291
266	8474	23265
267	8508	23239
268	8539	23204
269	8570	23173
270	8601	23138
271	8632	23104
272	8662	23069
273	8700	23053
274	8740	23042
275	8772	23011
276	8802	22976
277	8841	22961
278	8893	22982
279	8935	22977
280	8982	22983
281	9035	23005
282	9083	23014
283	9129	23016
284	9171	23008
285	9218	23015
286	9266	23020
287	9298	22988
288	9331	22957
289	9362	22922
290	9391	22882
291	9421	22844
292	9451	22806
293	9481	22768
294	9516	22743
295	9556	22728
296	9685	22925
297	9747	22961
298	9787	22946
299	9816	22905
300	9847	22869
301	9881	22839
302	9912	22802
303	9948	22776
304	9978	22737
305	10009	22702
306	10038	22659
307	10070	22626
308	10100	22587
309	10132	22552
310	10161	22513
311	10193	22477
312	10222	22437
313	10259	22414
314	10295	22389
315	10325	22349
316	10353	22308
317	10385	22274
318	10414	22233
319	10444	22195
320	10472	22153
321	10502	22114
322	10536	22084
323	10569	22051
324	10598	22012
325	10636	21989
326	10668	21957
327	10698	21919
328	10727	21879
329	10759	21844
330	10789	21806
331	10823	21777
332	10857	21747
333	10897	21729
334	10932	21701
335	10964	21667
336	10997	21635
337	11029	21601
338	11058	21562
339	11089	21526
340	11118	21486
341	11149	21452
342	11180	21415
343	11208	21375
344	11239	21338
345	11273	21308
346	11304	21273
347	11336	21239
348	11371	21210
349	11406	21182
350	11437	21148
351	11465	21106
352	11498	21075
353	11528	21038
354	11565	21012
355	11596	20977
356	11621	20932
357	11646	20885
358	11670	20838
359	11696	20794
360	11721	20748
361	11746	20702
362	11776	20666
363	11811	20637
364	11846	20609
365	11927	20661
366	11980	20663
367	12014	20633
368	12049	20605
369	12086	20580
370	12127	20561
371	12165	20536
372	12204	20516
373	12244	20494
374	12278	20463
375	12309	20429
376	12340	20393
377	12371	20356
378	12401	20319
379	12432	20284
380	12467	20255
381	12502	20226
382	12535	20194
383	12562	20152
384	12588	20109
385	12614	20066
386	12640	20022
387	12666	19978
388	12694	19938
389	12728	19908
390	12759	19874
391	12789	19837
392	12817	19796
393	12841	19751
394	12870	19713
395	12902	19679
396	12933	19644
397	12968	19616
398	13108	19744
399	13138	19707
400	13162	19662
401	13187	19617
402	13213	19573
403	13241	19534
404	13268	19493
405	13299	19458
406	13330	19423
407	13363	19390
408	13390	19349
409	13419	19310
410	13446	19269
411	13473	19229
412	13501	19189
413	13529	19150
414	13557	19110
415	13586	19072
416	13614	19034
417	13640	18992
418	13668	18953
419	13695	18913
420	13726	18877
421	13754	18838
422	13781	18798
423	13809	18759
424	13839	18724
425	13875	18696
426	13905	18659
427	13931	18619
428	13958	18578
429	13984	18537
430	14012	18499
431	14045	18467
432	14078	18435
433	14111	18404
434	14139	18365
435	14165	18324
436	14191	18283
437	14217	18242
438	14247	18207
439	14275	18169
440	14303	18130
441	14330	18091
442	14358	18053
443	14385	18014
444	14413	17976
445	14439	17936
446	14465	17895
447	14493	17858
448	14521	17820
449	14547	17780
450	14573	17740
451	14596	17696
452	14621	17654
453	14644	17612
454	14669	17571
455	14693	17528
456	14716	17485
457	14739	17443
458	14762	17399
459	14786	17358
460	14808	17314
461	14831	17271
462	14856	17230
463	14880	17189
464	14905	17149
465	14930	17109
466	14959	17073
467	14986	17036
468	15010	16994
469	15037	16957
470	15063	16918
471	15089	16880
472	15113	16838
473	15141	16802
474	15166	16763
475	15191	16722
476	15215	16682
477	15241	16645
478	15269	16607
479	15293	16568
480	15318	16529
481	15341	16486
482	15365	16447
483	15398	16416
484	15427	16381
485	15453	16343
486	15479	16306
487	15505	16268
488	15533	16231
489	15558	16193
490	15587	16159
491	15616	16123
492	15639	16083
493	15665	16045
494	15690	16007
495	15716	15969
496	15740	15930
497	15764	15891
498	15788	15851
499	15812	15812
500	15836	15772
501	15860	15733
502	15883	15694
503	15908	15656
504	15935	15619
505	15961	15582
506	15985	15543
507	16013	15509
508	16037	15470
509	16064	15434
510	16088	15395
511	16116	15360
512	16142	15324
513	16166	15286
514	16193	15250
515	16219	15213
516	16247	15179
517	16273	15142
518	16299	15106
519	16325	15069
520	16350	15032
521	16375	14995
522	16400	14958
523	16427	14922
524	16452	14885
525	16477	14848
526	16501	14811
527	16528	14775
528	16555	14739
529	16579	14702
530	16606	14667
531	16630	14630
532	16657	14594
533	16681	14557
534	16709	14523
535	16736	14488
536	16761	14451
537	16785	14414
538	16811	14378
539	16841	14346
540	16874	14316
541	16899	14280
542	16924	14244
543	16949	14208
544	16973	14170
545	16999	14135
546	17032	14105
547	17061	14072
548	17092	14041
549	17117	14004
550	17143	13970
551	17167	13933
552	17193	13898
553	17221	13864
554	17248	13829
555	17274	13794
556	17299	13759
557	17331	13728
558	17363	13698
559	17470	13726
560	17498	13693
561	17524	13657
562	17551	13623
563	17575	13586
564	17599	13549
565	17623	13513
566	17649	13478
567	17673	13441
568	17696	13404
569	17721	13368
570	17744	13331
571	17770	13296
572	17794	13260
573	17821	13226
574	17852	13195
575	17885	13165
576	17911	13130
577	17934	13093
578	17959	13058
579	17988	13026
580	18023	12998
581	18050	12964
582	18074	12928
583	18101	12893
584	18124	12857
585	18147	12821
586	18173	12786
587	18200	12752
588	18226	12718
589	18253	12684
590	18276	12648
591	18300	12612
592	18326	12578
593	18351	12543
594	18374	12507
595	18398	12471
596	18421	12435
597	18444	12399
598	18468	12363
599	18491	12327
600	18516	12292
601	18540	12257
602	18566	12224
603	18591	12188
604	18614	12153
605	18638	12118
606	18663	12083
607	18691	12051
608	18718	12017
609	18741	11982
610	18766	11947
611	18790	11912
612	18818	11880
613	18851	11851
614	18879	11818
615	18905	11785
616	18931	11751
617	18956	11717
618	18983	11684
619	19007	11649
620	19037	11618
621	19073	11591
622	19104	11560
623	19132	11528
624	19157	11494
625	19183	11461
626	19211	11428
627	19238	11396
628	19268	11365
629	19297	11333
630	19322	11299
631	19346	11265
632	19370	11230
633	19394	11195
634	19417	11161
635	19441	11126
636	19468	11094
637	19494	11061
638	19520	11028
639	19545	10994
640	19567	10959
641	19591	10924
642	19615	10890
643	19638	10856
644	19661	10821
645	19687	10788
646	19719	10758
647	19752	10729
648	19783	10699
649	19810	10667
650	19837	10634
651	19864	10602
652	19890	10569
653	19926	10541
654	19955	10510
655	19991	10483
656	20022	10452
657	20054	10423
658	20082	10391
659	20107	10358
660	20131	10324
661	20156	10291
662	20181	10258
663	20208	10225
664	20233	10192
665	20259	10160
666	20283	10126
667	20306	10092
668	20329	10058
669	20352	10024
670	20376	9990
671	20399	9956
672	20423	9923
673	20452	9892
674	20477	9859
675	20500	9825
676	20523	9791
677	20545	9757
678	20568	9724
679	20592	9690
680	20616	9657
681	20638	9623
682	20660	9589
683	20684	9555
684	20706	9522
685	20730	9489
686	20753	9455
687	20775	9421
688	20797	9387
689	20820	9354
690	20841	9319
691	20864	9286
692	20885	9252
693	20908	9219
694	20933	9186
695	20956	9153
696	20979	9120
697	21002	9087
698	21025	9053
699	21049	9021
700	21071	8987
701	21097	8955
702	21126	8925
703	21155	8894
704	21181	8863
705	21205	8830
706	21230	8798
707	21252	8765
708	21279	8733
709	21303	8701
710	21329	8669
711	21359	8639
712	21387	8609
713	21413	8577
714	21437	8544
715	21461	8512
716	21485	8480
717	21509	8447
718	21532	8415
719	21558	8384
720	21581	8351
721	21603	8318
722	21626	8285
723	21649	8253
724	21672	8220
725	21698	8189
726	21721	8156
727	21744	8124
728	21767	8091
729	21790	8059
730	21813	8027
731	21838	7995
732	21864	7964
733	21888	7932
734	21912	7900
735	21935	7868
736	21958	7836
737	21981	7803
738	22004	7771
739	22027	7739
740	22049	7706
741	22073	7675
742	22096	7643
743	22119	7611
744	22143	7579
745	22169	7548
746	22193	7516
747	22218	7485
748	22241	7453
749	22263	7421
750	22287	7389
751	22310	7357
752	22333	7325
753	22359	7294
754	22384	7263
755	22408	7232
756	22432	7200
757	22455	7169
758	22477	7137
759	22502	7106
760	22525	7074
761	22551	7043
762	22573	7011
763	22596	6980
764	22621	6948
765	22643	6917
766	22666	6885
767	22689	6854
768	22714	6823
769	22736	6791
770	22758	6759
771	22781	6728
772	22806	6697
773	22830	6666
774	22853	6634
775	22875	6603
776	22899	6572
777	22922	6540
778	22945	6509
779	22967	6478
780	22992	6447
781	23015	6415
782	23038	6384
783	23062	6353
784	23085	6322
785	23109	6291
786	23136	6261
787	23161	6231
788	23186	6200
789	23210	6169
790	23235	6139
791	23259	6108
792	23283	6077
793	23306	6046
794	23329	6015
795	23353	5985
796	23377	5954
797	23401	5923
798	23425	5892
799	23448	5862
800	23470	5831
801	23494	5800
802	23516	5769
803	23540	5738
804	23563	5707
805	23586	5677
806	23609	5646
807	23632	5615
808	23655	5584
809	23678	5554
810	23701	5523
811	23724	5492
812	23746	5461
813	23770	5431
814	23793	5400
815	23816	5370
816	23839	5339
817	23862	5309
818	23886	5278
819	23908	5248
820	23932	5217
821	23955	5187
822	23978	5157
823	24003	5126
824	24025	5096
825	24049	5066
826	24071	5035
827	24094	5005
828	24117	4974
829	24139	4944
830	24166	4914
831	24197	4885
832	24220	4855
833	24244	4825
834	24267	4795
835	24289	4765
836	24313	4734
837	24336	4704
838	24358	4674
839	24381	4644
840	24405	4614
841	24427	4583
842	24450	4553
843	24473	4523
844	24496	4493
845	24519	4463
846	24541	4433
847	24564	4403
848	24588	4373
849	24612	4343
850	24635	4313
851	24656	4283
852	24679	4253
853	24701	4222
854	24724	4192
855	24747	4163
856	24770	4133
857	24792	4103
858	24817	4073
859	24840	4043
860	24862	4013
861	24884	3983
862	24908	3954
863	24932	3924
864	24954	3894
865	24977	3864
866	25000	3835
867	25024	3805
868	25047	3775
869	25070	3746
870	25092	3716
871	25114	3686
872	25138	3657
873	25164	3627
874	25190	3598
875	25213	3569
876	25237	3539
877	25260	3509
878	25282	3480
879	25306	3450
880	25329	3421
881	25354	3392
882	25378	3362
883	25400	3333
884	25425	3303
885	25449	3274
886	25474	3245
887	25497	3215
888	25521	3186
889	25545	3157
890	25568	3127
891	25591	3098
892	25613	3069
893	25636	3039
894	25659	3010
895	25680	2980
896	25704	2951
897	25726	2922
898	25751	2893
899	25774	2863
900	25797	2834
901	25821	2805
902	25844	2776
903	25867	2746
904	25890	2717
905	25913	2688
906	25936	2659
907	25959	2630
908	25986	2601
909	26014	2572
910	26038	2543
911	26061	2514
912	26084	2485
913	26107	2456
914	26131	2427
915	26156	2398
916	26179	2369
917	26204	2340
918	26230	2311
919	26252	2282
920	26274	2253
921	26298	2224
922	26321	2195
923	26346	2167
924	26369	2138
925	26392	2109
926	26415	2080
927	26438	2051
928	26463	2022
929	26488	1993
930	26514	1965
931	26546	1936
932	26571	1908
933	26598	1879
934	26626	1851
935	26653	1822
936	26680	1793
937	26706	1765
938	26734	1736
939	26765	1708
940	26792	1679
941	26820	1651
942	26849	1622
943	26877	1594
944	26902	1565
945	26927	1537
946	26952	1508
947	26978	1479
948	27002	1451
949	27029	1422
950	27052	1393
951	27077	1365
952	27101	1336
953	27127	1308
954	27153	1279
955	27179	1250
956	27204	1222
957	27230	1193
958	27254	1165
959	27278	1136
960	27302	1108
961	27325	1079
962	27348	1050
963	27371	1022
964	27394	993
965	27418	965
966	27442	936
967	27465	907
968	27491	879
969	27515	850
970	27540	822
971	27563	794
972	27588	765
973	27613	737
974	27639	708
975	27662	680
976	27686	651
977	27710	623
978	27735	594
979	27758	566
980	27782	538
981	27807	509
982	27833	481
983	27856	452
984	27880	424
985	27904	396
986	27927	367
987	27950	339
988	27973	311
989	27996	282
990	28019	254
991	28042	226
992	28064	197
993	28086	169
994	28109	141
995	28135	112
996	28159	84
997	28183	56
998	28206	28
999	28232	0
